Area,meanValue,ISO_A3,richness,NAME_LONG,INCOME_GRP,area,GNI,log_GNI,log_Richness,log_forestArea,log_import
Czechia,1170881.125,CZE,135,Czech Republic,1. High income: OECD,2598149.37461226,17320.8333333333,4.23859385560359,2.13353890837022,6.41466428337072,6.06851317599568
Democratic Republic of the Congo,2712.35294117647,COD,9,Democratic Republic of the Congo,5. Low income,165535518.76613,354.583333333333,2.55094139681169,1,8.21889119680231,3.43350628857764
Denmark,358969.4375,DNK,178,Denmark,1. High income: OECD,422631.701528289,55835.8333333333,4.74692078023014,2.25285303097989,5.62596309788388,5.55505868434637
Djibouti,309.314285714286,DJI,0,Djibouti,4. Lower middle income,194.593916349525,2784.44444444444,3.44489450089928,0,2.29135534259412,2.49180176934528
Dominican Republic,20106.1333333333,DOM,29,Dominican Republic,3. Upper middle income,2068433.08093892,5508.75,3.74113189357345,1.47712125471966,6.31564168489281,4.30335015780417
Ecuador,5288.09375,ECU,45,Ecuador,3. Upper middle income,17388124.2071646,4447.08333333333,3.64817291501011,1.66275783168157,7.24025275876661,3.72338126502368
Egypt,122598.921875,EGY,14,Egypt,4. Lower middle income,307812.742490072,2313.75,3.36450409276935,1.17609125905568,5.48828800521078,5.0884901934347
El Salvador,1382.63492063492,SLV,17,El Salvador,4. Lower middle income,742834.135016216,3196.66666666667,3.50483318975031,1.25527250510331,5.87089243704781,3.14102151434816
Equatorial Guinea,29.1935483870968,GNQ,2,Equatorial Guinea,2. High income: nonOECD,2148926.82074017,6040.83333333333,3.78116874089556,0.477121254719662,6.33222182843668,1.47991415490383
Eritrea,1002.90476190476,ERI,1,Eritrea,5. Low income,13744.3147943823,421.666666666667,2.62599799882605,0.301029995663981,4.13815469047979,3.00169251426209
Estonia,531150.4375,EST,97,Estonia,1. High income: OECD,2013905.78148514,15949.5833333333,4.20277657039102,1.9912260756925,6.30403936431911,5.72521836118322
Eswatini,24076.6388888889,SWZ,9,Kingdom of eSwatini,4. Lower middle income,460287.367751046,3100,3.49150176623733,1,5.66302999969222,4.38161389671359
Ethiopia,1985.5,ETH,24,Ethiopia,5. Low income,12401624.6301838,456.25,2.66015371414845,1.39794000867204,7.09347861709323,3.29808856939138
Ethiopia PDR,552,ETH,24,Ethiopia,5. Low income,12401624.6301838,456.25,2.66015371414845,1.39794000867204,7.09347861709323,2.7427251313047
Fiji,1158.17391304348,FJI,18,Fiji,4. Lower middle income,1106565.17628999,3961.25,3.59794187407864,1.27875360095283,6.04397739127565,3.06414859887034
Finland,5768354.015625,FIN,312,Finland,1. High income: OECD,15794076.413424,44224.5833333333,4.64567356994303,2.49554433754645,7.19849426234239,6.76105198135462
France,1919091.703125,FRA,486,France,1. High income: OECD,22194081.1311923,38665.8333333333,4.5873386064622,2.68752896121463,7.34623718884771,6.28309595414309
Gabon,254.818181818182,GAB,9,Gabon,3. Upper middle income,22281356.619388,6377.08333333333,3.80469018925162,1,7.34794164918777,2.4079314079405
Gambia,243.257142857143,GMB,8,The Gambia,5. Low income,124149.759562976,645,2.81023251799508,0.954242509439325,5.09394938094254,2.38784727273097
Georgia,14253.5333333333,GEO,28,Georgia,4. Lower middle income,2522485.88815338,3351.25,3.52533639944864,1.46239799789896,6.40182891745902,4.15395300389201
