id,variable,shap_value,feature_value
11,FFI2020,0.000439999999999996,0.0124846138060093
11,timberImport,-0.1652,2630.2353515625
11,ForestAge_TC010,-0.02276,300
11,LC_Type1,0.00272000000000001,2
12,x,0,-88.25
12,y,0,15.65
12,wc2.1_10m_bio_1,-0.139,24.3246364593506
12,wc2.1_10m_bio_12,-0.01688,1918.19995117188
12,wc2.1_10m_bio_3,-0.07188,68.300651550293
12,population_density,0.00612,300.734771728516
12,travel_time_to_cities_12,-0.01004,2358.19995117188
12,GNI,0.00036,1183399.125
12,FFI2020,-0.01892,0.881939232349396
12,timberImport,-0.24152,3473.87084960938
12,ForestAge_TC010,-0.03084,24.4883098602295
12,LC_Type1,0.00136,8
13,x,0,-104.15
13,y,0,22.15
13,wc2.1_10m_bio_1,-0.03704,20.3054084777832
13,wc2.1_10m_bio_12,0.00535999999999999,781
13,wc2.1_10m_bio_3,-0.07988,63.8445930480957
13,population_density,0.0044,13.6941776275635
13,travel_time_to_cities_12,-0.04864,243.731674194336
13,GNI,-0.01056,190905.890625
13,FFI2020,-0.01668,0.915109992027283
13,timberImport,-0.32508,38269.453125
13,ForestAge_TC010,-0.0034,68.4252777099609
13,LC_Type1,-0.03388,9
14,x,0,-90.05
14,y,0,15.55
14,wc2.1_10m_bio_1,-0.06152,21.1831798553467
14,wc2.1_10m_bio_12,-0.02348,3581.76000976563
14,wc2.1_10m_bio_3,-0.06492,69.233757019043
14,population_density,-0.00256000000000001,117.328453063965
14,travel_time_to_cities_12,-0.036,75.7175827026367
14,GNI,0.001,3969722
14,FFI2020,-0.00304,0.676007151603699
14,timberImport,-0.32904,2058.90698242187
14,ForestAge_TC010,-0.00975999999999999,32.2894515991211
14,LC_Type1,7.99999999999983e-05,8
15,x,0,115.25
15,y,0,-2.15000000000001
15,wc2.1_10m_bio_1,-0.13604,27.4461555480957
15,wc2.1_10m_bio_12,-0.00936,2476
15,wc2.1_10m_bio_3,-0.18192,84.5764770507813
15,population_density,-0.01284,39.4864921569824
15,travel_time_to_cities_12,0.00544,21.0621757507324
15,GNI,0.01312,682453.625
15,FFI2020,0.00128,0.740666925907135
15,timberImport,-0.16048,215312.109375
15,ForestAge_TC010,-0.03796,300
15,LC_Type1,0.00272,8
16,x,0,-60.45
16,y,0,0.649999999999992
16,wc2.1_10m_bio_1,-0.09956,26.9340152740479
16,wc2.1_10m_bio_12,-0.0106,2027.76000976563
16,wc2.1_10m_bio_3,-0.07656,82.2319793701172
16,population_density,-0.0056,6.64937543869019
16,travel_time_to_cities_12,-0.0336,54.8409652709961
16,GNI,-0.00272,858527.8125
16,FFI2020,0.01028,0.257560878992081
16,timberImport,-0.29352,28984.765625
16,ForestAge_TC010,-0.02636,271.178131103516
16,LC_Type1,0.00652,2
17,x,0,-72.15
17,y,0,48.45
17,wc2.1_10m_bio_1,-0.03028,1.77729666233063
17,wc2.1_10m_bio_12,0.00655999999999999,910.919982910156
17,wc2.1_10m_bio_3,-0.10676,22.9334316253662
17,population_density,-0.004,13.090630531311
17,travel_time_to_cities_12,-0.01156,21.0464897155762
17,GNI,0.00532,1227301.125
17,FFI2020,-0.02492,0.625061273574829
17,timberImport,0.08436,4061534.5
17,ForestAge_TC010,-0.01456,70.3886337280274
17,LC_Type1,0.00908,8
18,x,0,110.65
