type,ISO_A3,pestCount,totalRecords,global_type_count,SRR,SRR_scaled
Animals,MNE,44,5697365,1820498,15.0974843497286,1.17893335314836
Animals,MNG,3,16253516,1820498,0.36082771367267,-0.441498172041805
Animals,MOZ,130,3619553413,1820498,0.0702124806821557,-1.14744388534652
Animals,MRT,29,191472,1820498,296.086549652591,2.4714201458869
Animals,MWI,79,191477543,1820498,0.806557251427217,-0.0928266787831877
Animals,MYS,1795,907149123,1820498,3.86822495859657,0.587623980544967
Animals,NAM,176,,1820498,,
Animals,NCL,124,7754529,1820498,31.2602333492401,1.4950061082386
Animals,NER,6,555955,1820498,21.0978191307647,1.32425814916764
Animals,NGA,39,2303818534,1820498,0.0330934689956306,-1.46732880724834
Animals,NIC,80,58319188,1820498,2.68166468866572,0.428566392775286
Animals,NLD,127330,36502394483,1820498,6.81923001732707,0.833799021807703
Animals,NOR,2303,15134566661,1820498,0.297474608945533,-0.525092608132166
Animals,NPL,83,854611947,1820498,0.189860704286035,-0.719283477936561
Animals,NZL,6345,7367519937,1820498,1.68358970561519,0.226494142426884
Animals,OMN,16,132240845,1820498,0.236526781315194,-0.624287416263613
Animals,PAK,30,21380346722,1820498,0.00274304205337674,-2.42677529352494
Animals,PAN,122,2237294327,1820498,0.106601340063724,-0.968182319946054
Animals,PER,536,23620912255,1820498,0.0443602595220523,-1.34332446935605
Animals,PHL,805,34020777116,1820498,0.0462570151658342,-1.32553371262208
Animals,PNG,114,13027464,1820498,17.1068845526683,1.23319631089105
Animals,POL,1873,3469960282,1820498,1.05521080232657,0.023750604893463
Animals,PRI,416,13845562697,1820498,0.0587365826062634,-1.2237596260187
Animals,PRK,12,,1820498,,
Animals,PRT,12316,53237835055,1820498,0.452246535720011,-0.34366550664433
Animals,PRY,58,4040764757,1820498,0.0280601753600579,-1.5367017693334
Animals,PSE,88,592842,1820498,290.181461239897,2.46267115993868
Animals,QAT,3,13247278,1820498,0.44271125112813,-0.352899558795478
Animals,ROU,1401,345136795,1820498,7.93547318284666,0.899627553119535
Animals,RUS,4268,3173763289,1820498,2.6289106955048,0.419941001300414
Animals,RWA,21,222656458,1820498,0.184378362481429,-0.731940958451027
Animals,SAU,5,1317453306,1820498,0.00741926233832199,-2.07472595795763
Animals,SDN,20,243583,1820498,160.51254308722,2.20551168122632
Animals,SEN,39,6252321,1820498,12.1940871600303,1.08618490862555
Animals,SLB,0,58161,1820498,0,-3
Animals,SLE,0,59130,1820498,0,-3
Animals,SLV,20,7264184086,1820498,0.00538231497439152,-2.19502176669457
Animals,SOM,0,198185,1820498,0,-3
Animals,SRB,1728,962818561,1820498,3.50853036165675,0.545249003933857
Animals,SSD,4,288,1820498,27151.47693251,4.43379347445762
Animals,SUR,11,41301,1820498,520.664626293501,2.71655890703268
Animals,SVK,616,3060603948,1820498,0.393459044479636,-0.403998081630325
Animals,SVN,2866,1303337631,1820498,4.29877986694708,0.633446221854615
Animals,SWE,30300,38997501583,1820498,1.51890915242081,0.18181763019382
Animals,SWZ,79,1575684,1820498,98.0130538814361,1.99128835207571
Animals,SYR,79,2545,1820498,60682.7508024034,4.78306526666811
Animals,TCD,0,900080,1820498,0,-3
Animals,TGO,55,8233719,1820498,13.0584792428233,1.11592585944462
Animals,THA,1276,3027370152,1820498,0.82396943997602,-0.0835621390811077
Animals,TJK,5,903288,1820498,10.821057841689,1.03430985081808
Animals,TLS,30,1341377,1820498,43.7216309614833,1.64070628725927
Animals,TTO,88,16437264,1820498,10.4659606272907,1.01982059052083
Animals,TUN,5,274740726,1820498,0.0355772944113993,-1.43678842203227
Animals,TUR,203,17127945722,1820498,0.0231695028281084,-1.61673228303173
Animals,TWN,9614,14517798478,1820498,1.29458123922712,0.112464650545974
Animals,TZA,115,3046072657,1820498,0.0738046180495893,-1.12607159021649
Animals,UGA,37,331655614,1820498,0.218092296632152,-0.659372892128765
Animals,UKR,1125,10921111012,1820498,0.201377829519064,-0.693837066164819
Animals,URY,110,304471470,1820498,0.706272076347512,-0.150413487863517
Animals,USA,242000,506087827547,1820498,0.934792951581351,-0.0288202302496876
Animals,UZB,188,1102171246,1820498,0.333453075547259,-0.475664806028998
Animals,VEN,144,2977205658,1820498,0.0945539358625871,-1.01975141966916
Animals,VNM,412,1651417825,1820498,0.487715101250028,-0.310944241106411
Animals,VUT,10,548388,1820498,35.6482333519464,1.55205019464793
Animals,YEM,10,302307,1820498,64.66626109024,1.81068446727796
Animals,ZAF,2733,29842595315,1820498,0.179031313077054,-0.744651950930843
Animals,ZMB,55,2906161,1820498,36.9972099456085,1.56818071245752
Animals,ZWE,277,3561022025,1820498,0.152065629513195,-0.815122318044612
Dieases,AFG,0,844633,151491,0,-3
Dieases,AGO,1,17611983,151491,1.33389323832624,0.125446533221293
Dieases,ALB,1,1076686,151491,21.8192723200791,1.33886016634259
Dieases,ARE,0,146661432,151491,0,-3
Dieases,ARG,96,32944479522,151491,0.0684570075562054,-1.15828393150356
Dieases,ARM,1,531392741,151491,0.0442093074004124,-1.34477214623894
Dieases,ATF,0,,151491,,
Dieases,AUS,7666,89941710927,151491,2.00233619929105,0.301753838581945
Dieases,AUT,7359,6663166172,151491,25.9458251687255,1.41408422553495
Dieases,AZE,0,272116,151491,0,-3
Dieases,BDI,3,2754,151491,25590.9640928287,4.40808666441734
Dieases,BEL,1684,55932370249,151491,0.707307384016687,-0.149778230711866
Dieases,BEN,0,1671381180,151491,0,-3
Dieases,BFA,16,293440044,151491,1.28094337593361,0.107868842606607
Dieases,BGD,0,255346824,151491,0,-3
Dieases,BGR,1,654293480,151491,0.035905149226333,-1.43291303425922
Dieases,BHS,1,947680,151491,24.7894912177283,1.39428513229566
Dieases,BIH,1,1515505159,151491,0.0155014352130072,-1.78247828136291
Dieases,BLR,17,2008469,151491,198.844286684377,2.29851530117452
Dieases,BLZ,0,39958118,151491,0,-3
Dieases,BOL,13,757042340,151491,0.403415435765214,-0.393172276573317
Dieases,BRA,202,239723811413,151491,0.0197956389461128,-1.68202773139388
Dieases,BRN,1,23890549,151491,0.983338852414682,-0.0068553727056284
Dieases,BTN,0,9169608,151491,0,-3
Dieases,BWA,5,2756738,151491,42.6092451245217,1.62951403257926
Dieases,CAF,126,,151491,,
Dieases,CAN,7327,59019619478,151491,2.91648075555366,0.46500800000981
Dieases,CHE,1187,42861789477,151491,0.650593543093667,-0.186023227943462
Dieases,CHL,26,29961529844,151491,0.0203863131872071,-1.66986407753492
Dieases,CHN,193,696568008784,151491,0.00650913251112111,-2.12441023175669
Dieases,CIV,6,30199991,151491,4.6673864976748,0.669166804283979
Dieases,CMR,0,1388479541,151491,0,-3
Dieases,COD,14,2540186427,151491,0.129476745102313,-0.884466885825355
Dieases,COG,33,92827,151491,8351.58592034809,3.92176900545584
Dieases,COL,115,115710790110,151491,0.0233481948979142,-1.6135332305452
Dieases,CRI,86,15279943167,151491,0.132222706008749,-0.875421749235441
Dieases,CUB,18,295085888,151491,1.43302376652421,0.156556349089651
Dieases,CYP,1,273735972,151491,0.0858217678355285,-1.06137137544965
Dieases,CZE,56,15089529393,151491,0.0871849775974082,-1.05460539108379
Dieases,DEU,1106,72572459136,151491,0.358024392179827,-0.444876044376461
Dieases,DNK,207,17751114513,151491,0.273951730700768,-0.560743542279873
Dieases,DOM,13,167147736,151491,1.82714150243601,0.262009808109378
Dieases,DZA,2,2168294903,151491,0.0216691050693456,-1.64456562460734
Dieases,ECU,46,28979666487,151491,0.0372901196843222,-1.41691327616578
Dieases,EGY,1,5142084788,151491,0.00456867321442089,-2.25424826699763
Dieases,ERI,0,,151491,,
Dieases,ESP,386,68530825004,151491,0.132321578557333,-0.875099552837186
Dieases,EST,238,1458073327,151491,3.83466050391414,0.583840160594149
Dieases,ETH,12,3762121336,151491,0.0749338033701848,-1.11956484664762
Dieases,FIN,896,2748269304,151491,7.65910548966572,0.884234750476503
Dieases,FJI,5,54392237,151491,2.15954576727711,0.334563470492366
Dieases,FRA,254,60088960246,151491,0.0993043689726728,-0.998680149936714
Dieases,GAB,320,589946366,151491,12.742856037712,1.10530085676825
Dieases,GBR,5113,167124575316,151491,0.718728397832401,-0.142831361313342
Dieases,GEO,3,148369280,151491,0.475014201805456,-0.322380089981745
Dieases,GHA,122,626495391,151491,4.57479122067546,0.660466200711304
Dieases,GIN,1,439749,151491,53.4225320289909,1.72773259746282
Dieases,GMB,0,852780,151491,0,-3
Dieases,GNB,0,,151491,,
Dieases,GNQ,0,4048191,151491,0,-3
Dieases,GRC,21,18335534189,151491,0.0269063666592011,-1.55429670391185
Dieases,GRL,1,272,151491,86369.5038132968,4.9363604296421
Dieases,GTM,29,3302509308,151491,0.206292422682639,-0.683416572712035
Dieases,GUY,4,1671234,151491,56.2279250834216,1.74995978127215
Dieases,HND,10,102342876,151491,2.29547047683287,0.361060866548634
Dieases,HRV,1298,535730965,151491,56.9190013840386,1.75526490197234
Dieases,HTI,1,83837,151491,280.216432329601,2.44749514925475
Dieases,HUN,87,2769255156,151491,0.738049700407547,-0.131326354721606
Dieases,IDN,5,6331805799,151491,0.0185511888574717,-1.70882682913555
Dieases,IND,190,68505002593,151491,0.0651569343568973,-1.17942462774103
Dieases,IRL,23,9522948755,151491,0.0567395278245393,-1.23852677196267
Dieases,IRN,45,13576278792,151491,0.0778683719501768,-1.10309712405735
Dieases,IRQ,15,3522288,151491,100.04507739238,2.00020006548357
Dieases,ISL,1,7815003,151491,3.00607754561537,0.478144627700987
Dieases,ISR,4,2151305241,151491,0.0436804681911092,-1.34988228471153
Dieases,ITA,3950,33447367733,151491,2.77437063621159,0.443320989084992
Dieases,JAM,6,974635,151491,144.623402836242,2.16024157873277
Dieases,JOR,1,71179849,151491,0.330044322476952,-0.480113856017294
Dieases,JPN,384,19546490961,151491,0.461521300794632,-0.334868261617816
Dieases,KAZ,8,6095306838,151491,0.0308335651170272,-1.49711472097845
Dieases,KEN,4,3227245884,151491,0.029117713222519,-1.52117800632737
Dieases,KGZ,0,117557257,151491,0,-3
Dieases,KHM,3,472366,151491,149.20107525023,2.17377486377643
Dieases,KOR,23,11908952612,151491,0.0453715480664123,-1.33374840538783
Dieases,KWT,0,21327532,151491,0,-3
Dieases,LAO,23,20244098,151491,26.6906243911675,1.42637500475992
Dieases,LBN,0,150993912,151491,0,-3
Dieases,LBR,0,162067,151491,0,-3
Dieases,LKA,28,1066069004,151491,0.617023981162545,-0.208994672670899
Dieases,LSO,0,24658085,151491,0,-3
Dieases,LTU,19,592100618,151491,0.753854297965144,-0.12213686783607
Dieases,LUX,20,2592157799,151491,0.181258294122986,-0.739312698895405
Dieases,LVA,2,24037371,151491,1.95466509521501,0.291294484524593
Dieases,MAR,43,83013829,151491,12.1687883665783,1.08528302588607
Dieases,MDA,0,4264841,151491,0,-3
Dieases,MDG,101,474729335,151491,4.99809646007844,0.698891516763717
Dieases,MEX,204,217023260520,151491,0.0220827528630304,-1.63671239820567
Dieases,MKD,0,166724021,151491,0,-3
Dieases,MLI,0,569193,151491,0,-3
Dieases,MMR,0,2171962277,151491,0,-3
Dieases,MNE,1,5697365,151491,4.12339827924255,0.615360596991071
Dieases,MNG,0,16253516,151491,0,-3
Dieases,MOZ,2,3619553413,151491,0.0129808859583842,-1.85446530679878
Dieases,MRT,0,191472,151491,0,-3
Dieases,MWI,0,191477543,151491,0,-3
Dieases,MYS,4,907149123,151491,0.103588283079746,-0.980516966318033
Dieases,NAM,1,,151491,,
Dieases,NCL,10,7754529,151491,30.2952055981952,1.48138823936187
Dieases,NER,0,555955,151491,0,-3
Dieases,NGA,0,2303818534,151491,0,-3
Dieases,NIC,4,58319188,151491,1.61130535886177,0.207447297462654
Dieases,NLD,2074,36502394483,151491,1.33480162431205,0.125741967223738
Dieases,NOR,186,15134566661,151491,0.288716950725935,-0.538026094401424
Dieases,NPL,7,854611947,151491,0.192423632547834,-0.713490464802684
Dieases,NZL,3485,7367519937,151491,11.1124748565034,1.04584987127687
Dieases,OMN,0,132240845,151491,0,-3
Dieases,PAK,105,21380346722,151491,0.115372919858664,-0.934148068863256
Dieases,PAN,23,2237294327,151491,0.241509402377341,-0.615271418622807
Dieases,PER,74,23620912255,151491,0.073597723660569,-1.12727442476241
Dieases,PHL,22,34020777116,151491,0.0151917491201487,-1.79070623387804
Dieases,PNG,9,13027464,151491,16.2297547193338,1.21033871470124
Dieases,POL,49,3469960282,151491,0.331742340912368,-0.477891932360507
Dieases,PRI,89,13845562697,151491,0.151011049104225,-0.818124843696044
Dieases,PRK,5,,151491,,
Dieases,PRT,43,53237835055,151491,0.0189748083399091,-1.69951737908878
Dieases,PRY,11,4040764757,151491,0.0639526354415252,-1.1874032228128
Dieases,PSE,1,592842,151491,39.6269242685517,1.59800132435732
Dieases,QAT,0,13247278,151491,0,-3
Dieases,ROU,2,345136795,151491,0.136134456699795,-0.862853409729524
Dieases,RUS,170,3173763289,151491,1.258356560544,0.100148708942698
Dieases,RWA,0,222656458,151491,0,-3
Dieases,SAU,0,1317453306,151491,0,-3
Dieases,SDN,0,243583,151491,0,-3
Dieases,SEN,0,6252321,151491,0,-3
Dieases,SLB,1,58161,151491,403.921958652993,2.60629853881726
Dieases,SLE,3,59130,151491,1191.90791665229,3.07624306873752
Dieases,SLV,11,7264184086,151491,0.0355742024637595,-1.43682513531515
Dieases,SOM,0,198185,151491,0,-3
Dieases,SRB,3,962818561,151491,0.0731991654153936,-1.12960097959331
Dieases,SSD,0,288,151491,0,-3
Dieases,SUR,0,41301,151491,0,-3
Dieases,SVK,3,3060603948,151491,0.0230273228124485,-1.61929461673472
Dieases,SVN,81142,1303337631,151491,1462.57485273963,3.16511839890602
Dieases,SWE,1585,38997501583,151491,0.954820667286554,-0.0196235831566488
Dieases,SWZ,2,1575684,151491,29.8188025482479,1.47450476344661
Dieases,SYR,1,2545,151491,9230.84677297317,3.96524158902336
Dieases,TCD,8,900080,151491,208.803706668,2.31974028387478
Dieases,TGO,0,8233719,151491,0,-3
Dieases,THA,4,3027370152,151491,0.0310401488522263,-1.49430547493642
Dieases,TJK,0,903288,151491,0,-3
