id,variable,shap_value,feature_value
1,x,0,26.25
1,y,0,65.25
1,wc2.1_10m_bio_1,-0.116789115111869,1.29525136947632
1,wc2.1_10m_bio_12,-0.0698974243308363,573.125
1,wc2.1_10m_bio_3,-0.126947628449526,23.5302314758301
1,population_density,0.00741680881387751,60.9609794616699
1,travel_time_to_cities_12,-0.0190605917903219,56.8082542419434
1,GNI,-0.0502334847165122,190780.125
1,FFI2020,-0.0558439359330542,0.510980665683746
1,timberImport,-0.0442452719432254,5768354
1,ForestAge_TC010,0.00753964341793292,62.1165580749512
1,LC_Type1,0.00106129116851728,8
2,x,0,-62.95
2,y,0,-2.35000000000001
2,wc2.1_10m_bio_1,-0.0106650881676459,26.3118286132813
2,wc2.1_10m_bio_12,0.00288144671319763,2657.56005859375
2,wc2.1_10m_bio_3,-0.00380009968207263,89.0295028686523
2,population_density,-0.0551312289289707,0.030993552878499
2,travel_time_to_cities_12,-0.0926195072330464,3023.49853515625
2,GNI,-0.0905078992694153,292.995422363281
2,FFI2020,-0.0628157644973267,0.00546628516167402
2,timberImport,-0.0267294670262456,28984.765625
2,ForestAge_TC010,-0.0983496920112221,300
2,LC_Type1,-0.0262877345453278,2
3,x,0,71.35
3,y,0,57.75
3,wc2.1_10m_bio_1,-0.130405985868529,0.496986538171768
3,wc2.1_10m_bio_12,-0.0854394567513624,440.571441650391
3,wc2.1_10m_bio_3,-0.116481745599502,22.4049034118652
3,population_density,-0.0410533059069297,1.72901976108551
3,travel_time_to_cities_12,-0.0104176363615625,78.6679000854492
3,GNI,-0.0580472040788144,53629.72265625
3,FFI2020,-0.0658523012010999,0.342989563941956
3,timberImport,-0.0334218834161185,160933.265625
3,ForestAge_TC010,0.00341941650260508,67.7685241699219
3,LC_Type1,0.00264815837984622,8
4,x,0,11.45
4,y,0,64.65
4,wc2.1_10m_bio_1,-0.044973793384834,5.25601816177368
4,wc2.1_10m_bio_12,0.0129200277267935,1418.97143554688
4,wc2.1_10m_bio_3,-0.149260091603493,21.980224609375
4,population_density,-0.0699741995820922,1.71297013759613
4,travel_time_to_cities_12,-0.0804430607641213,10884.9921875
4,GNI,-0.0475541112466626,254565.90625
4,FFI2020,-0.0269390764121921,0.564202070236206
4,timberImport,0.00946109252135383,1635427.75
4,ForestAge_TC010,-0.0430272230475167,152.619476318359
4,LC_Type1,0.0125340552286566,17
5,x,0,-115.65
5,y,0,53.15
5,wc2.1_10m_bio_1,-0.0951264607818131,2.11615419387817
5,wc2.1_10m_bio_12,-0.0655507987545757,590.47998046875
5,wc2.1_10m_bio_3,-0.00202992621332041,33.4779968261719
5,population_density,-0.078711030437742,0.00696407584473491
5,travel_time_to_cities_12,-0.035913581449155,79.4749984741211
5,GNI,-0.0983293622226927,9502.2958984375
5,FFI2020,-0.0261620178421957,0.551640868186951
5,timberImport,-0.0155495361162996,4061534.5
5,ForestAge_TC010,-0.020869432654053,118.598602294922
5,LC_Type1,-0.00593547643438741,8
6,x,0,154.05
6,y,0,64.75
6,wc2.1_10m_bio_1,-0.148084546628286,-12.0512981414795
6,wc2.1_10m_bio_12,-0.0816802043976119,258.142852783203
