ISO_A3,NAME_LONG.x,INCOME_GRP.x,CONTINENT,SUBREGION,Area,meanValue,richness,NAME_LONG.y,INCOME_GRP.y,area,GNI,total_richness,total_records,log10_total_richness,log10_total_records,richness_for_model,log_Richness,log_GNI,log_forestArea,log_import,Residuals,Std_Residuals
KOR,Republic of Korea,1. High income: OECD,Asia,Eastern Asia,Republic of Korea,5475265.828125,112,Republic of Korea,1. High income: OECD,3510965.5064935,26082.0833333333,98,3690,1.99563519459755,3.56714404519566,98,1.99563519459755,4.41635892891196,6.54542668645355,6.73840528865528,-0.187036026432134,-0.595716190032387
MNG,Mongolia,4. Lower middle income,Asia,Eastern Asia,Mongolia,3458.29032258065,6,Mongolia,4. Lower middle income,2634868.34540201,2540.41666666667,2,3,0.477121254719662,0.602059991327962,2,0.477121254719662,3.40507587370814,6.42075908483215,3.53898701191425,-0.78368654123733,-2.49606864212847
IND,India,4. Lower middle income,Asia,Southern Asia,India,1943795.0625,138,India,4. Lower middle income,29187750.4251607,1339.16666666667,125,4787,2.10037054511756,3.68015414173437,125,2.10037054511756,3.12715881173244,7.46520063896679,6.28865069805068,0.168934890905887,0.538063449559587
BGD,Bangladesh,5. Low income,Asia,Southern Asia,Bangladesh,48302.2,30,Bangladesh,5. Low income,1442641.50974212,1208.33333333333,24,8168,1.39794000867204,3.91216889605963,24,1.39794000867204,3.0825460236684,6.15915872521605,4.68397590293178,0.0710858112994686,0.226410758828039
BTN,Bhutan,4. Lower middle income,Asia,Southern Asia,Bhutan,109.685714285714,11,Bhutan,4. Lower middle income,2002878.2833172,2245,12,27,1.11394335230684,1.44715803134222,12,1.11394335230684,3.35140975192544,6.30165477447126,2.04409157203282,0.17725677220801,0.564568928304888
NPL,Nepal,5. Low income,Asia,Southern Asia,Nepal,602.78125,27,Nepal,5. Low income,3792497.48627732,709.583333333333,21,100,1.34242268082221,2.00432137378264,21,1.34242268082221,2.85161501693568,6.57892541611624,2.78087962218828,0.348527110749642,1.11007085907114
PAK,Pakistan,4. Lower middle income,Asia,Southern Asia,Pakistan,126386.328125,27,Pakistan,4. Lower middle income,836653.772467461,1090.41666666667,24,168,1.39794000867204,2.22788670461367,24,1.39794000867204,3.03799058146664,5.92254629271142,5.10170353279711,0.0572319915215422,0.182285865389415
AFG,Afghanistan,5. Low income,Asia,Southern Asia,Afghanistan,2200.15217391304,8,Afghanistan,5. Low income,167938.679486133,437.272727272727,9,36,1,1.568201724067,9,1,2.64174444632478,5.22515331999702,3.34265006799915,0.259319106095894,0.825940289862304
TJK,Tajikistan,5. Low income,Asia,Central Asia,Tajikistan,5711.55172413793,7,Tajikistan,5. Low income,77105.4819860561,826.666666666667,7,14,0.903089986991944,1.17609125905568,7,0.903089986991944,2.9178554648349,4.88709088871823,3.75683014540281,0.0797294255676355,0.253940968158113
KGZ,Kyrgyzstan,5. Low income,Asia,Central Asia,Kyrgyzstan,13730.6875,9,Kyrgyzstan,5. Low income,525854.927397876,898.75,6,18,0.845098040014257,1.27875360095283,6,0.845098040014257,2.95412185532495,5.72086677360871,4.13772391137402,-0.244882809799836,-0.779960188639469
TKM,Turkmenistan,3. Upper middle income,Asia,Central Asia,Turkmenistan,2973.29032258065,0,Turkmenistan,3. Upper middle income,12042.5040350684,4012.91666666667,,,,,0,0,3.60356835181302,4.08075286247772,3.47338335804636,-0.788163935955868,-2.51032929861203
IRN,Iran,3. Upper middle income,Asia,Southern Asia,Iran (Islamic Republic of),29251.2203389831,44,Iran,3. Upper middle income,1367296.66311738,4513.75,23,64,1.38021124171161,1.81291335664286,23,1.38021124171161,3.65463370667023,6.13586307153695,4.46615883603773,-0.0643293244056048,-0.204891115221427
SYR,Syria,4. Lower middle income,Asia,Western Asia,Syrian Arab Republic,19737.03125,18,Syria,4. Lower middle income,59375.0033555735,1299.5652173913,18,80,1.27875360095283,1.90848501887865,18,1.27875360095283,3.11413213495789,4.77361096154841,4.2953038322292,0.32248252122232,1.02711794384867
ARM,Armenia,4. Lower middle income,Asia,Western Asia,Armenia,1114.74074074074,10,Armenia,4. Lower middle income,291913.534060907,3191.66666666667,9,112,1,2.05307844348342,9,1,3.50415357798693,5.46525571850742,3.04756329142394,0.0148004613439552,0.0471399794506532
SWE,Sweden,1. High income: OECD,Europe,Northern Europe,Sweden,5098893.984375,259,Sweden,1. High income: OECD,20561906.7336427,50906.6666666667,209,31941,2.32221929473392,4.50436210534569,209,2.32221929473392,4.70678319177287,7.3130634060313,6.70747606743401,-0.10750616298482,-0.342410834105031
BLR,Belarus,3. Upper middle income,Europe,Eastern Europe,Belarus,50280.1290322581,50,Belarus,3. Upper middle income,7387600.71022555,5071.66666666667,30,274,1.49136169383427,2.43933269383026,30,1.49136169383427,3.70523632504487,6.86850347316317,4.70140502094261,-0.174041610296996,-0.554328526813779
UKR,Ukraine,4. Lower middle income,Europe,Eastern Europe,Ukraine,84723,131,Ukraine,4. Lower middle income,8976511.87028373,2641.25,102,1886,2.01283722470517,3.27577190016493,102,2.01283722470517,3.42197390657294,6.95310765790173,4.92800645154843,0.367121755081312,1.16929544209708
POL,Poland,1. High income: OECD,Europe,Eastern Europe,Poland,860701.484375,146,Poland,1. High income: OECD,8134048.40945882,11780.4166666667,96,2427,1.98677173426624,3.38524868240322,96,1.98677173426624,4.07119751570778,6.9103068061544,5.93485305653694,-0.0257935368265859,-0.0821533037185712
AUT,Austria,1. High income: OECD,Europe,Western Europe,Austria,5206343.390625,439,Austria,1. High income: OECD,3818317.53714852,44250.4166666667,400,45069,2.60314437262018,4.65388755807098,400,2.60314437262018,4.64592717877775,6.5818721558951,6.71653289254793,0.350746682628685,1.11714027199928
HUN,Hungary,1. High income: OECD,Europe,Eastern Europe,Hungary,823947.1875,166,Hungary,1. High income: OECD,1708808.66085916,12588.3333333333,147,4791,2.17026171539496,3.68051680938126,147,2.17026171539496,4.10000273270354,6.23269369066562,5.91589990272828,0.302774235317232,0.964346374031835
MDA,Moldova,4. Lower middle income,Europe,Eastern Europe,Republic of Moldova,24020.4838709677,5,Moldova,4. Lower middle income,304006.828893899,2749.16666666667,8,23,0.954242509439325,1.38021124171161,8,0.954242509439325,3.43935901391038,5.48288476782467,4.38059983142111,-0.268117683309112,-0.853964061512873
ROU,Romania,3. Upper middle income,Europe,Eastern Europe,Romania,377793.492063492,64,Romania,3. Upper middle income,6950161.71527849,8430.41666666667,65,1411,1.81954393554187,3.14983469671579,65,1.81954393554187,3.92590055194683,6.84199497229088,5.57725562197155,-0.0687185808882321,-0.218871048386092
LTU,Lithuania,3. Upper middle income,Europe,Northern Europe,Lithuania,200176.060606061,54,Lithuania,3. Upper middle income,1871879.06954644,13231.25,38,1429,1.5910646070265,3.15533603746506,38,1.5910646070265,4.1216336975134,6.27227802025535,5.3014143077936,-0.175282732385768,-0.558281543439463
LVA,Latvia,3. Upper middle income,Europe,Northern Europe,Latvia,769659.333333333,30,Latvia,3. Upper middle income,2726168.63207488,12301.25,11,94,1.07918124604762,1.97772360528885,11,1.07918124604762,4.0899845482866,6.43555287570336,5.88629910451665,-0.824674725057735,-2.62661742017738
EST,Estonia,1. High income: OECD,Europe,Northern Europe,Estonia,531150.4375,97,Estonia,1. High income: OECD,2013905.78148514,15949.5833333333,50,707,1.70757017609794,2.85003325768977,50,1.70757017609794,4.20277657039102,6.30403936431911,5.72521836118322,-0.169120640219211,-0.538655067524026
DEU,Germany,1. High income: OECD,Europe,Western Europe,Germany,4306291.578125,448,Germany,1. High income: OECD,10344866.0118895,42698.75,401,59198,2.60422605308447,4.77231437060552,401,2.60422605308447,4.63042533230984,7.01472491197867,6.63410353332504,0.276183027856134,0.879652461852118
BGR,Bulgaria,3. Upper middle income,Europe,Eastern Europe,Bulgaria,160064.825396825,64,Bulgaria,3. Upper middle income,3491645.61347914,6870.41666666667,61,384,1.79239168949825,2.5854607295085,61,1.79239168949825,3.83704628394298,6.5430302826904,5.2042986184536,0.0661295499832331,0.210624895727573
GRC,Greece,1. High income: OECD,Europe,Southern Europe,Greece,189620.78125,121,Greece,1. High income: OECD,2666548.62853913,20817.0833333333,112,956,2.05307844348342,2.98091193777684,112,2.05307844348342,4.31844074265415,6.42594967097412,5.27788822189115,0.200800573033304,0.639556745326408
TUR,Turkey,3. Upper middle income,Asia,Western Asia,Türkiye,544973.484375,62,Turkey,3. Upper middle income,8130906.87193309,9156.25,60,242,1.78532983501077,2.38560627359831,60,1.78532983501077,3.96176507092353,6.91013904027522,5.73637616914903,-0.158334053591068,-0.504299417373902
ALB,Albania,4. Lower middle income,Europe,Southern Europe,Albania,8172.35483870968,16,Albania,4. Lower middle income,555731.530254337,4297.5,19,163,1.30102999566398,2.2148438480477,19,1.30102999566398,3.63331693107427,5.74486581930915,3.912400353825,0.0536271143592703,0.170804207392245
HRV,Croatia,2. High income: nonOECD,Europe,Southern Europe,Croatia,94051.0606060606,110,Croatia,2. High income: nonOECD,2063643.08318003,12740.4166666667,91,1871,1.96378782734556,3.27230584440209,91,1.96378782734556,4.10521771813364,6.31463479661809,4.97336831503832,0.254759574980984,0.811418026125621
CHE,Switzerland,1. High income: OECD,Europe,Western Europe,Switzerland,350075.46875,240,Switzerland,1. High income: OECD,1541202.77082627,73435,170,29082,2.23299611039215,4.46363920329584,170,2.23299611039215,4.86590901316543,6.18786006292015,5.54416291957542,0.226104078253473,0.720149281490522
LUX,Luxembourg,1. High income: OECD,Europe,Western Europe,Luxembourg,768117.64,77,Luxembourg,1. High income: OECD,84739.0543203871,73652.5,81,2842,1.91381385238372,3.45377685969044,81,1.91381385238372,4.86719338925836,4.92808873805814,5.88542830429974,0.120493938073161,0.383777345360721
BEL,Belgium,1. High income: OECD,Europe,Western Europe,Belgium,3901752.96,202,Belgium,1. High income: OECD,675305.31875476,42417.0833333333,177,225569,2.25042000230889,5.35328133954529,177,2.25042000230889,4.62755104097067,5.82950081337706,6.59125987982444,0.193231993114007,0.61545055744653
NLD,Netherlands,1. High income: OECD,Europe,Western Europe,Netherlands (Kingdom of the),581599.046875,216,Netherlands,1. High income: OECD,471322.395729685,47430,178,129483,2.25285303097989,5.11221610709673,178,2.25285303097989,4.67606228109091,5.6733189979691,5.76462443285365,0.372444253729524,1.18624778372157
PRT,Portugal,1. High income: OECD,Europe,Southern Europe,Portugal,961080.203125,127,Portugal,1. High income: OECD,1729255.56773118,20132.5,112,12359,2.05307844348342,4.0920184707528,112,2.05307844348342,4.30391927903959,6.23785943380799,5.98276008338053,0.113366883462096,0.361077430803902
ESP,Spain,1. High income: OECD,Europe,Southern Europe,Spain,1574297.4375,374,Spain,1. High income: OECD,8531490.00207968,27274.5833333333,346,608364,2.54032947479087,5.78416422059446,346,2.54032947479087,4.43577404746345,6.93102493707484,6.1970870644104,0.369140933239097,1.17572659411681
IRL,Ireland,1. High income: OECD,Europe,Northern Europe,Ireland,111414.265625,63,Ireland,1. High income: OECD,590223.895505022,49051.25,49,353,1.69897000433602,2.54900326202579,49,1.69897000433602,4.69065893302429,5.7710175239583,5.04694470001624,-0.0716302065027651,-0.228144676312099
NCL,New Caledonia,2. High income: nonOECD,Oceania,Melanesia,New Caledonia,1183.2,22,New Caledonia,2. High income: nonOECD,880511.363070136,31960,24,134,1.39794000867204,2.13033376849501,24,1.39794000867204,4.50462035911779,5.94473545817433,3.07342505674598,0.0151120353459758,0.0481323533849026
SLB,Solomon Islands,4. Lower middle income,Oceania,Melanesia,Solomon Islands,86.3,7,Solomon Islands,4. Lower middle income,1605437.68351507,1617.08333333333,1,1,0.301029995663981,0.301029995663981,1,0.301029995663981,3.20900088456603,6.20559372321951,1.94101424370557,-0.554133026228865,-1.76493278569492
NZL,New Zealand,1. High income: OECD,Oceania,Australia and New Zealand,New Zealand,7060.578125,178,New Zealand,1. High income: OECD,9105427.23805667,32877.0833333333,110,9831,2.04532297878666,3.9926418698784,110,2.04532297878666,4.51690649189662,6.95930037594658,3.84890176824586,0.288249039970212,0.918083126267945
AUS,Australia,1. High income: OECD,Oceania,Australia and New Zealand,Australia,33033.234375,376,Australia,1. High income: OECD,35049824.5428602,45793.3333333333,334,291528,2.52504480703685,5.46468176291503,334,2.52504480703685,4.66081174100994,7.54468586064899,4.51896424574201,0.470761693695236,1.49939221833863
LKA,Sri Lanka,4. Lower middle income,Asia,Southern Asia,Sri Lanka,2149.73333333333,47,Sri Lanka,4. Lower middle income,3120756.28214832,2660.41666666667,45,508,1.66275783168157,2.70671778233676,45,1.66275783168157,3.42511287224711,6.49425999259269,3.33258656610981,0.41895592256047,1.33438905188561
CHN,China,3. Upper middle income,Asia,Eastern Asia,China,20057433,253,China,3. Upper middle income,118790828.492259,6024.58333333333,243,11624,2.38738982633873,4.06539296156199,243,2.38738982633873,3.77999909708667,8.07478291493277,7.30227537180895,-0.0573909204736279,-0.182792059578996
CHN,China,3. Upper middle income,Asia,Eastern Asia,"China, mainland",17395927.65625,253,China,3. Upper middle income,118790828.492259,6024.58333333333,243,11624,2.38738982633873,4.06539296156199,243,2.38738982633873,3.77999909708667,8.07478291493277,7.24044761787922,-0.0457104107205225,-0.145589233468483
TWN,Taiwan,2. High income: nonOECD,Asia,Eastern Asia,,,,,,,,,,,,,,,,,,
ITA,Italy,1. High income: OECD,Europe,Southern Europe,Italy,4154921.4375,369,Italy,1. High income: OECD,7921224.10648818,32945,325,16019,2.51321760006794,4.20466251174822,325,2.51321760006794,4.51780269409302,6.89879235530681,6.61856292095282,0.246014320424787,0.783564088975331
DNK,Denmark,1. High income: OECD,Europe,Northern Europe,Denmark,358969.4375,178,Denmark,1. High income: OECD,422631.701528289,55835.8333333333,145,2975,2.16435285578444,3.47363292687384,145,2.16435285578444,4.74692078023014,5.62596309788388,5.55505868434637,0.313689955491176,0.999113318975681
GBR,United Kingdom,1. High income: OECD,Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland,592909.515625,355,United Kingdom,1. High income: OECD,2670942.73852955,41656.6666666667,312,89295,2.49554433754645,4.95083200517259,312,2.49554433754645,4.61969494054762,6.42666474002306,5.7729891528874,0.463221546937482,1.47537659105816
ISL,Iceland,1. High income: OECD,Europe,Northern Europe,,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,3. Upper middle income,Asia,Western Asia,Azerbaijan,4188.03333333333,4,Azerbaijan,3. Upper middle income,1090436.94129562,4036.66666666667,4,5,0.698970004336019,0.778151250383644,4,0.698970004336019,3.60613046250194,6.03760095416984,3.62211381618006,-0.550494188881892,-1.75334296333911
GEO,Georgia,4. Lower middle income,Asia,Western Asia,Georgia,14253.5333333333,28,Georgia,4. Lower middle income,2522485.88815338,3351.25,23,134,1.38021124171161,2.13033376849501,23,1.38021124171161,3.52533639944864,6.40182891745902,4.15395300389201,-0.0270642354699898,-0.0862005226900592
PHL,Philippines,4. Lower middle income,Asia,South-Eastern Asia,Philippines,171845.035087719,35,Philippines,4. Lower middle income,13557817.2334612,2538.33333333333,39,829,1.60205999132796,2.91907809237607,39,1.60205999132796,3.40471971360527,7.13218980712661,5.23513951634296,-0.136310861923961,-0.434154792926147
MYS,Malaysia,3. Upper middle income,Asia,South-Eastern Asia,Malaysia,127795.935483871,60,Malaysia,3. Upper middle income,26949514.0740332,8137.91666666667,62,1815,1.79934054945358,3.25911584418507,62,1.79934054945358,3.91056660181802,7.43055095495629,5.10652043975038,-0.125667376637959,-0.400254925482462
BRN,Brunei Darussalam,2. High income: nonOECD,Asia,South-Eastern Asia,Brunei Darussalam,509.885714285714,7,Brunei Darussalam,2. High income: nonOECD,717029.700205709,31191.25,7,12,0.903089986991944,1.11394335230684,7,0.903089986991944,4.49404670298223,5.85553775070894,2.70832375883097,-0.388019238803587,-1.23585464794512
SVN,Slovenia,1. High income: OECD,Europe,Southern Europe,Slovenia,351176.303030303,162,Slovenia,1. High income: OECD,1111126.88179561,21575.8333333333,131,104386,2.12057393120585,5.01864641648419,131,2.12057393120585,4.33398770694684,6.04576404558537,5.54552643921804,0.297299224556616,0.94690827607329
FIN,Finland,1. High income: OECD,Europe,Northern Europe,Finland,5768354.015625,312,Finland,1. High income: OECD,15794076.413424,44224.5833333333,265,18223,2.42488163663107,4.26064370673503,265,2.42488163663107,4.64567356994303,7.19849426234239,6.76105198135462,0.0278712679139623,0.088770948836972
SVK,Slovakia,1. High income: OECD,Europe,Eastern Europe,Slovakia,654882.4375,116,Slovakia,1. High income: OECD,2059737.30550373,15438.3333333333,100,36507,2.00432137378264,4.56238804185811,100,2.00432137378264,4.18862854367424,6.3138120457598,5.81616400693008,0.112344736416269,0.35782185723656
CZE,Czech Republic,1. High income: OECD,Europe,Eastern Europe,Czechia,1170881.125,135,Czech Republic,1. High income: OECD,2598149.37461226,17320.8333333333,101,2202,2.00860017176192,3.34301449715077,101,2.00860017176192,4.23859385560359,6.41466428337072,6.06851317599568,0.0323389286022665,0.103000602098772
ERI,Eritrea,5. Low income,Africa,Eastern Africa,Eritrea,1002.90476190476,1,Eritrea,5. Low income,13744.3147943823,421.666666666667,1,2,0.301029995663981,0.477121254719662,1,0.301029995663981,2.62599799882605,4.13815469047979,3.00169251426209,-0.130494484447707,-0.415629430213733
JPN,Japan,1. High income: OECD,Asia,Eastern Asia,Japan,19965237.75,156,Japan,1. High income: OECD,22326996.3608061,41079.5833333333,130,16400,2.11727129565576,4.21487032861122,130,2.11727129565576,4.61363660183491,7.3488303210421,7.30027450797827,-0.405650513385625,-1.29201086511774
PRY,Paraguay,4. Lower middle income,South America,South America,Paraguay,722.612903225807,17,Paraguay,4. Lower middle income,16211505.7824741,4174.58333333333,24,161,1.39794000867204,2.20951501454263,24,1.39794000867204,3.62071715544863,7.20982338233167,2.85950630245229,0.0293028925825955,0.0933307227448292
YEM,Yemen,4. Lower middle income,Asia,Western Asia,Yemen,2541.15094339623,1,Yemen,4. Lower middle income,15590.7823581394,810,1,10,0.301029995663981,1.04139268515822,1,0.301029995663981,2.90902085421116,4.19289576394186,3.40520133376238,-0.299949788834789,-0.955350414645999
SAU,Saudi Arabia,2. High income: nonOECD,Asia,Western Asia,Saudi Arabia,51863.0175438597,7,Saudi Arabia,2. High income: nonOECD,623.354249549099,22244.5833333333,5,5,0.778151250383644,0.778151250383644,5,0.778151250383644,4.34724379849162,2.79543107200677,4.71486615550215,-0.173664115655308,-0.553126193370356
ATA,Antarctica,2. High income: nonOECD,Antarctica,Antarctica,,,,,,,,,,,,,,,,,,
CYP,Northern Cyprus,3. Upper middle income,Asia,Western Asia,Cyprus,4508.703125,16,Cyprus,2. High income: nonOECD,68773.007756899,25874.1666666667,25,105,1.41497334797082,2.02530586526477,25,1.41497334797082,4.41288315584393,4.83742433328474,3.65414795309348,0.19344906743062,0.616141946626
CYP,Cyprus,2. High income: nonOECD,Asia,Western Asia,Cyprus,4508.703125,16,Cyprus,2. High income: nonOECD,68773.007756899,25874.1666666667,25,105,1.41497334797082,2.02530586526477,25,1.41497334797082,4.41288315584393,4.83742433328474,3.65414795309348,0.19344906743062,0.616141946626
MAR,Morocco,4. Lower middle income,Africa,Northern Africa,Morocco,248454.734375,36,Morocco,4. Lower middle income,534462.672156819,2886.66666666667,39,152,1.60205999132796,2.1846914308176,39,1.60205999132796,3.46054705967934,5.72791819126976,5.39524902474297,0.127785784035914,0.40700212605189
EGY,Egypt,4. Lower middle income,Africa,Northern Africa,Egypt,122598.921875,14,Egypt,4. Lower middle income,307812.742490072,2313.75,16,36,1.23044892137827,1.568201724067,16,1.23044892137827,3.36450409276935,5.48828800521078,5.0884901934347,-0.105383544074352,-0.33565021972311
LBY,Libya,3. Upper middle income,Africa,Northern Africa,Libya,21573.5573770492,0,Libya,3. Upper middle income,5622.28075545463,8398.75,,,,,0,0,3.92426636043853,3.74998976721931,4.33394189450651,-0.969567204859291,-3.08810496179304
ETH,Ethiopia,5. Low income,Africa,Eastern Africa,Ethiopia,1985.5,24,Ethiopia,5. Low income,12401624.6301838,456.25,24,129,1.39794000867204,2.11394335230684,24,1.39794000867204,2.66015371414845,7.09347861709323,3.29808856939138,0.247496862978202,0.788286038101007
ETH,Ethiopia,5. Low income,Africa,Eastern Africa,Ethiopia PDR,552,24,Ethiopia,5. Low income,12401624.6301838,456.25,24,129,1.39794000867204,2.11394335230684,24,1.39794000867204,2.66015371414845,7.09347861709323,2.7427251313047,0.352416217843698,1.1224577991965
DJI,Djibouti,4. Lower middle income,Africa,Eastern Africa,Djibouti,309.314285714286,0,Djibouti,4. Lower middle income,194.593916349525,2784.44444444444,,,,,0,0,3.44489450089928,2.29135534259412,2.49180176934528,-0.161779939687388,-0.515274683346685
,Somaliland,4. Lower middle income,Africa,Eastern Africa,,,,,,,,,,,,,,,,,,
UGA,Uganda,5. Low income,Africa,Eastern Africa,Uganda,2784.13636363636,22,Uganda,5. Low income,6457525.22399572,620.833333333333,27,508,1.44715803134222,2.70671778233676,27,1.44715803134222,2.79367399865719,6.8100661785176,3.44484646361208,0.293351498036736,0.934334631056478
RWA,Rwanda,5. Low income,Africa,Eastern Africa,Rwanda,2650.54838709677,5,Rwanda,5. Low income,557560.818096686,585.833333333333,8,21,0.954242509439325,1.34242268082221,8,0.954242509439325,2.76851477468654,5.74629302556757,3.42349955680151,0.0467767160260644,0.148985452614847
BIH,Bosnia and Herzegovina,3. Upper middle income,Europe,Southern Europe,Bosnia and Herzegovina,61000.1666666667,13,Bosnia and Herzegovina,3. Upper middle income,2342280.69117122,4532.91666666667,17,68,1.25527250510331,1.83884909073726,17,1.25527250510331,3.65647353353655,6.36963912368452,4.78533814110995,-0.301759855973828,-0.961115540864408
MKD,North Macedonia,3. Upper middle income,Europe,Southern Europe,North Macedonia,11423.8125,10,North Macedonia,3. Upper middle income,668268.217921245,4757.91666666667,10,23,1.04139268515822,1.38021124171161,10,1.04139268515822,3.67750809993982,5.82495145694169,4.05784908131225,-0.263854572517071,-0.840385906720101
SRB,Serbia,3. Upper middle income,Europe,Southern Europe,Serbia,78016.3157894737,45,Serbia,3. Upper middle income,2273804.46443457,5769.58333333333,103,1733,2.01703333929878,3.23904909314019,103,2.01703333929878,3.76121971707994,6.35675330585014,4.89219100419324,0.412637375070098,1.31426426037188
MNE,Montenegro,3. Upper middle income,Europe,Southern Europe,Montenegro,2515.31578947368,15,Montenegro,3. Upper middle income,531653.068415384,6259.16666666667,18,45,1.27875360095283,1.66275783168157,18,1.27875360095283,3.7965858957424,5.72562914160926,3.40076514274296,0.085460410232632,0.272194351823771
,Kosovo,4. Lower middle income,Europe,Southern Europe,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,2. High income: nonOECD,North America,Caribbean,Trinidad and Tobago,5395.80952380952,16,Trinidad and Tobago,2. High income: nonOECD,322010.092728979,14850.8333333333,20,102,1.32221929473392,2.01283722470517,20,1.32221929473392,4.17178006694654,5.50787083265237,3.73213709025008,0.00690162207931983,0.0219819041741011
SSD,South Sudan,5. Low income,Africa,Eastern Africa,South Sudan,4607.5,2,South Sudan,5. Low income,12930899.458826,974,3,6,0.602059991327962,0.845098040014257,3,0.602059991327962,2.98900461569854,7.1116287685527,3.66355959182592,-0.715701956639458,-2.27953539722298
