ISO_A3,NAME_LONG.x,INCOME_GRP.x,CONTINENT,SUBREGION,Area,meanValue,richness,NAME_LONG.y,INCOME_GRP.y,area,GNI,total_richness,total_records,log10_total_richness,log10_total_records,richness_for_model,log_Richness,log_GNI,log_forestArea,log_import,Residuals,Std_Residuals
BHS,Bahamas,2. High income: nonOECD,North America,Caribbean,Bahamas,15704.0158730159,1,Bahamas,2. High income: nonOECD,106723.442626882,28334.5833333333,5,7,0.778151250383644,0.903089986991944,5,0.778151250383644,4.45233215771653,5.02826389535978,4.19603837967497,-0.59923078866196,-1.90857071325418
FLK,Falkland Islands / Malvinas,1. High income: OECD,South America,South America,,,,,,,,,,,,,,,,,,
NOR,Norway,1. High income: OECD,Europe,Northern Europe,Norway,1635427.796875,130,Norway,1. High income: OECD,8182636.71709482,77657.0833333333,84,3491,1.92941892571429,3.54307423503353,84,1.92941892571429,4.89018666759003,6.91289332339294,6.21363164060564,-0.371142184431076,-1.18210064813263
GRL,Greenland,2. High income: nonOECD,North America,Northern America,,,,,,,,,,,,,,,,,,
ATF,French Southern and Antarctic Lands,2. High income: nonOECD,Seven seas (open ocean),Seven seas (open ocean),,,,,,,,,,,,,,,,,,
TLS,Timor-Leste,4. Lower middle income,Asia,South-Eastern Asia,Timor-Leste,209.454545454545,6,Timor-Leste,4. Lower middle income,558210.623235875,1952.08333333333,5,30,0.778151250383644,1.49136169383427,5,0.778151250383644,3.29072077397639,5.74679887524585,2.32315831019575,-0.0712362541073735,-0.226889924355945
ZAF,South Africa,3. Upper middle income,Africa,Southern Africa,South Africa,40787.8524590164,119,South Africa,3. Upper middle income,7253900.15055593,5884.16666666667,97,2815,1.9912260756925,3.44963265047007,97,1.9912260756925,3.76975876648085,6.86057163312192,4.61054148718208,0.326246788498074,1.03910726485036
LSO,Lesotho,4. Lower middle income,Africa,Southern Africa,Lesotho,21468.4,3,Lesotho,4. Lower middle income,55258.7418576127,1139.16666666667,3,4,0.602059991327962,0.698970004336019,3,0.602059991327962,3.05696834004091,4.74240885180604,4.33181990748561,-0.33782838945955,-1.07599506305083
MEX,Mexico,3. Upper middle income,North America,Central America,Mexico,38269.453125,241,Mexico,3. Upper middle income,42556417.7575446,9415.41666666667,195,14100,2.29225607135648,4.14924991259028,195,2.29225607135648,3.97388566734074,7.62896507372127,4.58286360433378,0.404177581631815,1.28731952672002
URY,Uruguay,3. Upper middle income,South America,South America,Uruguay,8886.890625,18,Uruguay,3. Upper middle income,1312965.47275915,12057.5,24,134,1.39794000867204,2.13033376849501,24,1.39794000867204,4.081293287718,6.11825363630913,3.94879870150761,-0.0672679522671105,-0.214250746234624
BRA,Brazil,3. Upper middle income,South America,South America,Brazil,28984.765625,148,Brazil,3. Upper middle income,477236463.358971,7814.16666666667,148,4630,2.17318626841227,3.66567478099389,148,2.17318626841227,3.89293824424156,8.67873361954329,4.46218477623763,0.0991083159970757,0.315663402033012
BOL,Bolivia,4. Lower middle income,South America,South America,Bolivia (Plurinational State of),2872.42857142857,30,Bolivia,4. Lower middle income,55753055.4941126,2307.5,27,232,1.44715803134222,2.36735592102602,27,1.44715803134222,3.36332987888716,7.74626868126532,3.45840040577806,-0.0793996314675993,-0.252890562583762
PER,Peru,3. Upper middle income,South America,South America,Peru,9415.21875,44,Peru,3. Upper middle income,75814095.5813955,4706.25,48,628,1.69019608002851,2.79865064544527,48,1.69019608002851,3.67276726411014,7.87974996418511,3.97387653913173,-0.0519430616808353,-0.165440441573711
COL,Colombia,3. Upper middle income,South America,South America,Colombia,2630.23529411765,107,Colombia,3. Upper middle income,77352153.4376862,5292.91666666667,97,9504,1.9912260756925,3.97795212120146,97,1.9912260756925,3.72377710064276,7.88847241431681,3.4201596859298,0.337145934761472,1.07382142131793
PAN,Panama,3. Upper middle income,North America,Central America,Panama,2890.55555555556,29,Panama,3. Upper middle income,4949237.97731958,9674.16666666667,27,154,1.44715803134222,2.19033169817029,27,1.44715803134222,3.98565845501293,6.69453842451745,3.46113154083447,-0.0258669193952796,-0.0823870297288531
CRI,Costa Rica,3. Upper middle income,North America,Central America,Costa Rica,3016.24137931035,63,Costa Rica,3. Upper middle income,3477590.549779,8449.58333333334,60,531,1.78532983501077,2.72591163229505,60,1.78532983501077,3.92688668879629,6.54127857188924,3.47961005512336,0.35953118097606,1.14511920197694
