id,variable,shap_value,feature_value
1,x,0,-67.15
1,y,0,1.14999999999999
1,wc2.1_10m_bio_1,-0.0621833333333333,26.7185955047607
1,wc2.1_10m_bio_12,-0.0222586666666667,3262.0400390625
1,wc2.1_10m_bio_3,-0.0605773333333333,90.2333221435547
1,population_density,-0.0196913333333333,0.174480512738228
1,travel_time_to_cities_12,-0.0676593333333333,1309.18994140625
1,GNI,-0.042296,1773.34057617188
1,FFI2020,0.00366000000000001,0.0211869832128286
1,timberImport,-0.11822,28984.765625
1,ForestAge_TC010,-0.03209,300
1,LC_Type1,0.00107199999999998,2
2,x,0,-74.15
2,y,0,-10.05
2,wc2.1_10m_bio_1,-0.0669873333333333,25.2267761230469
2,wc2.1_10m_bio_12,-0.0233086666666667,1758.88000488281
2,wc2.1_10m_bio_3,-0.0552873333333334,83.6627960205078
2,population_density,-0.024704,1.08886051177979
2,travel_time_to_cities_12,-0.0449906666666667,999.113708496094
2,GNI,-0.0419666666666667,6883.92333984375
2,FFI2020,0.00473266666666666,0.0834269300103188
2,timberImport,-0.145496666666667,9415.21875
2,ForestAge_TC010,-0.0108106666666667,292.744598388672
2,LC_Type1,0.001158,2
3,x,0,-107.25
3,y,0,24.75
3,wc2.1_10m_bio_1,-0.118534,24.9835414886475
3,wc2.1_10m_bio_12,0.00163800000000001,764
3,wc2.1_10m_bio_3,-0.0688353333333333,60.7238693237305
3,population_density,-0.00720666666666668,20.7156105041504
3,travel_time_to_cities_12,-0.0429453333333333,25.584924697876
3,GNI,0.000296000000000009,1418195.25
3,FFI2020,-0.00346933333333334,0.628255784511566
3,timberImport,-0.157616666666667,38269.453125
3,ForestAge_TC010,-0.0125993333333333,37.5387725830078
3,LC_Type1,-0.0192466666666667,12
4,x,0,-51.95
4,y,0,-4.05000000000001
4,wc2.1_10m_bio_1,-0.0593206666666667,24.7285842895508
4,wc2.1_10m_bio_12,-0.0139273333333333,2296.80004882813
4,wc2.1_10m_bio_3,-0.0536246666666667,79.6189727783203
4,population_density,-0.032344,0.0406791865825653
4,travel_time_to_cities_12,-0.0450653333333333,711.258850097656
4,GNI,-0.0952766666666667,287.367462158203
4,FFI2020,-0.00471266666666666,0.10709348320961
4,timberImport,-0.121548,28984.765625
4,ForestAge_TC010,-0.0249906666666667,300
4,LC_Type1,0.0139486666666667,2
5,x,0,98.05
5,y,0,23.75
5,wc2.1_10m_bio_1,-0.102516,18.8725109100342
5,wc2.1_10m_bio_12,-0.0626146666666667,1526.28576660156
5,wc2.1_10m_bio_3,0.0161106666666667,49.2757530212402
5,population_density,0.00117799999999999,72.4689788818359
